Country_Name,Region,Image_URL,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Benin,Africa,https://public.flourish.studio/country-flags/svg/bj.svg,BEN,0.2261955794,0.23566822240000002,0.2364349068,0.2539276465,0.2698189883,0.2899087206,0.30292528080000003,0.30622200039999997,0.3263230974,0.3307482115,0.3336277582,0.3350729752,0.410331901,0.5043760357,0.554654787,0.6768701402999999,0.6984082443999999,0.7500497392000001,0.9288433048,1.186231265,1.405251547,1.291119965,1.267778489,1.095348303,1.051133927,1.045712703,1.336102041,1.56241203,1.620246187,1.502294411,1.959965244,1.98643786,1.695315306,2.274557914,1.598075932,2.169627251,2.361116588,2.268301538,2.455092582,3.677394292,3.519991326,3.6662226,4.194342849,5.349258334,6.190270756,6.567654494,7.034111651,8.16904869,9.787735426,9.738626993,9.535344283,10.693321954,11.141358945,12.517845732,13.284528654,11.388160958,11.821066153,12.701654743,14.262407012,14.391686633,15.651545332
Bermuda,Americas,https://public.flourish.studio/country-flags/svg/bm.svg,BMU,0.08446665408,0.0892499867,0.09414998597,0.0963666523,0.1075666506,0.114339049,0.1341733738,0.1551029846,0.15,0.1649,0.1863,0.2111,0.2354,0.2695,0.3126,0.345,0.3863,0.447,0.4758,0.5172,0.613299968,0.739100032,0.785500032,0.8894,0.985699968,1.039500032,1.173500032,1.296499968,1.415100032,1.501500032,1.5924,1.6349,1.6799,1.8203599,1.8671601,2.03075,2.69539,2.932827,3.130748,3.324433,3.480219,3.680483,3.937228,4.186525,4.484703,4.868136,6.144,6.767,6.98,6.656,6.634526,6.312691,6.378188,6.465756,6.413988,6.654541,6.899911,7.142316,7.224329,7.484113,6.8427
Bhutan,Asia,https://public.flourish.studio/country-flags/svg/bt.svg,BTN,,,,,,,,,,,,,,,,,,,,,0.1287174109,0.1391504413,0.1413665345,0.15668719209999998,0.1604599705,0.1632723148,0.1912307471,0.2427708616,0.2722410052,0.264725207,0.287658184,0.2403199956,0.24021576390000002,0.2259980912,0.2589855977,0.2904648011,0.30343551789999995,0.3522609529,0.36345278719999996,0.3992688017,0.42446408989999995,0.4614445137,0.5208495515,0.6040419578999999,0.682523857,0.7969381202000001,0.8749898956000001,1.168308517,1.227808791,1.234014292,1.547991318,1.777101317,1.781281282,1.756215665,1.907090813,2.003598213,2.158972129,2.450364928,2.446866405,2.535657069,2.315437338
Bolivia,Americas,https://public.flourish.studio/country-flags/svg/bo.svg,BOL,0.3738793636,0.4066845857,0.44466518639999997,0.4788059901,0.5394914772999999,0.6043771044,0.6691919192000001,0.7558080808,0.8579124578999999,0.9296296296000001,1.017003367,1.095622896,1.257615645,1.262968516,2.100249875,2.404697651,2.731984008,3.227436282,3.75822089,4.421343606,4.526916803,5.872756933,5.587490265,5.422440962,6.169501038,5.377277407,3.958338883,4.323623622,4.597615563,4.715978868,4.86758262,5.343274312,5.643893347,5.734676561,5.981244887,6.715220507,7.396966657,7.925673448,8.497545598,8.285075872,8.397912509,8.141537938,7.905485216,8.082364868,8.773451739,9.549077869,11.451869165,13.120183157,16.674324634,17.339992165,19.649631314,23.963033431,27.084497483,30.65933888,32.996188013,33.000198248,33.9411262,37.508642165,40.28764793,40.895322844,36.572764863
Bosnia and Herzegovina,Europe,https://public.flourish.studio/country-flags/svg/ba.svg,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.255802469,1.866572954,2.786045322,3.671816504,4.116699437,4.685733115,5.567405599,5.800774717,6.728771314,8.498560902,10.157553968,11.222953335,12.864610863,15.778767411,19.112739398,17.613836527,17.176781046,18.644723854,17.221192466,18.172335776,18.560861389,16.219819017,16.914287349,18.079075771,20.177409351,20.20132326,19.946496563
Botswana,Africa,https://public.flourish.studio/country-flags/svg/bw.svg,BWA,0.030412308989999998,0.03290233664,0.03564320763,0.03809115057,0.04161396905,0.04579086975,0.05146443515,0.05864644351,0.06624825662,0.07735691407999999,0.09624511445999999,0.1274564851,0.1644668737,0.244129088,0.3060338484,0.35517241380000003,0.3720101196,0.4516033254,0.5903767206,0.8198773006,1.060923829,1.073861599,1.014907255,1.172258182,1.240796365,1.114764007,1.392634772,1.965274882,2.644536804,3.083800685,3.790567052,3.942792837,4.146513722,4.160086253,4.259330999,4.730611067,4.847752843,5.020214747,4.790458837,5.484257417,5.788329609,5.4896083,5.438857107,7.511582173,8.957467707,9.918907108,10.137883299,10.939053365,10.945070442,10.267133178,12.786654498,15.351972361,14.380004175,14.901750991,15.65466071,13.578754072,15.082578065,16.088437675,16.914245098,16.593720656,15.061922802
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,BRA,,17.275940449,19.231747852,23.287712878,20.963733695,22.465522884,28.283323733,31.086389195,33.930457425,37.171640819,42.327664794,48.869830902,58.434858375,83.592275863,109.795,129.204,153.169,176.344,200.279,221.338,237.393,258.015,271.314,189.657,188.34,210.88,256.481,283.057,308.334,347.028,390.726,342.609,328.188,368.296,525.37,769.333,850.426,883.206,863.711,599.642,655.448,559.984,509.795,558.234,669.289,891.634,1107.63,1397.11,1695.86,1667.0,2208.84,2616.16,2465.23,2472.82,2456.04,1802.21,1795.69,2063.51,1916.93,1877.82,1444.73
British Virgin Islands,Americas,https://public.flourish.studio/country-flags/svg/vg.svg,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Asia,https://public.flourish.studio/country-flags/svg/bn.svg,BRN,,,,,,0.1140402457,0.1327583954,0.1390304456,0.1608192866,0.16121128969999998,0.17908009930000002,0.19752317919999998,0.2708185558,0.4330920036,1.073577086,1.168304306,1.423061357,1.732721161,1.941600704,2.803780006,4.928824958,4.36621385,4.264252336,3.844723142,3.782523088,3.523612563,2.358592817,2.754463438,2.690717551,2.985467979,3.520551724,3.701667053,4.183548189,4.105706152,4.08733796,4.734020037,5.115602837,5.197332974,4.051147228,4.6,6.001153306,5.601090584,5.843329108,6.557333085,7.872333215,9.531402848,11.470703002,12.247694247,14.393099069,10.732366286,13.707370737,18.525319978,19.047940301,18.093829923,17.098342541,12.930394938,11.400854268,12.128104859,13.567351175,13.469422959,12.00582577
Bulgaria,Europe,https://public.flourish.studio/country-flags/svg/bg.svg,BGR,,,,,,,,,,,,,,,,,,,,,19.839230769,19.87,19.342,16.563666667,17.594944444,17.155421053,20.249294118,28.101,22.555941176,21.988444444,20.632090909,10.943548387,10.350515464,10.829710145,9.697416974,18.983303571,12.294221473,11.315986087,15.030695297,13.627323285,13.245833844,14.183497963,16.402846413,21.144983552,26.157894737,29.8692834,34.379808889,44.40510147,54.43896642,52.023504656,50.682061053,57.678241024,54.300857424,55.810138436,57.08201126,50.781996713,53.953897624,59.199447421,66.36342245,68.915416142,69.889347433
